Location,Total incidents,Race,Religion,SexualOrientation,Ethnicity,Disability,Year,Gender,Gender Identity
Liquor store,8,4.0,2,1,1,0,2014,0.0,0.0
Park/playground,70,34.0,8,17,10,0,2014,0.0,1.0
Parking/drop lot/garage,343,186.0,37,59,49,3,2014,2.0,6.0
Rental storage facility,3,3.0,0,0,0,0,2014,0.0,0.0
Residence/home,1732,828.0,249,318,239,36,2014,14.0,41.0
Rest area,6,1.0,1,2,2,0,2014,0.0,0.0
Restaurant,114,58.0,10,25,16,2,2014,2.0,0.0
School/college2,165,78.0,46,27,11,1,2014,2.0,0.0
School—college/university,123,73.0,23,21,0,2,2014,2.0,2.0
School—elementary/secondary,184,94.0,27,33,20,6,2014,0.0,2.0
Service/gas station,62,35.0,5,9,10,1,2014,0.0,1.0
Shelter—mission/homeless,5,4.0,0,1,0,0,2014,0.0,0.0
Shopping mall,15,5.0,6,2,1,1,2014,0.0,0.0
"Specialty store (TV, fur, etc.)",48,25.0,8,7,6,0,2014,0.0,2.0
Other/unknown,654,210.0,258,126,48,8,2014,0.0,3.0
Total,5850,,1244,1053,3310,74,2015,23.0,114.0
Abandoned/condemned structure,5,,3,0,2,0,2015,0.0,0.0
Air/bus/train terminal,82,,9,15,57,0,2015,0.0,0.0
Amusement park,1,,0,0,1,0,2015,0.0,0.0
Arena/stadium/fairgrounds/coliseum,7,,1,1,4,0,2015,0.0,1.0
ATM separate from bank,1,,0,0,1,0,2015,0.0,0.0
Auto dealership new/used,4,,2,1,1,0,2015,0.0,0.0
Bank/savings and loan,12,,1,1,7,0,2015,0.0,2.0
Bar/nightclub,99,,9,32,55,0,2015,0.0,3.0
Camp/campground,3,,2,0,1,0,2015,0.0,0.0
Church/synagogue/temple/mosque,259,,199,8,45,0,2015,0.0,5.0
Commercial office building,111,,32,15,56,3,2015,0.0,4.0
Community center,15,,10,0,5,0,2015,0.0,0.0
Construction site,11,,2,0,9,0,2015,0.0,0.0
Convenience store,94,,14,11,67,1,2015,0.0,1.0
